Timestamp,GPU %,GPU Memory Used
1680514098.2008464,10, 602
1680514099.2402608,1, 602
1680514100.281379,3, 602
1680514101.323732,4, 696
1680514102.3709464,0, 694
1680514103.4187613,0, 693
1680514104.4562793,0, 691
1680514105.4970465,80, 694
1680514106.53741,0, 694
1680514107.5811691,38, 818
1680514108.635905,22, 736
1680514109.6849015,30, 754
1680514110.7387736,40, 755
1680514111.788737,0, 718
1680514112.8327909,27, 724
1680514113.885396,15, 702
1680514114.9277747,18, 696
1680514115.9854965,42, 688
1680514117.0354269,4, 687
1680514118.0879204,55, 667
1680514119.127611,40, 635
1680514120.1734204,14, 632
1680514121.216258,3, 717
1680514122.2623143,4, 715
1680514123.3047094,0, 700
1680514124.352155,0, 700
1680514125.395413,0, 699
1680514126.4339352,0, 688
1680514127.4809682,0, 688
1680514128.534521,0, 688
1680514129.5797553,0, 688
1680514130.62249,0, 688
1680514131.661899,0, 686
1680514132.704041,0, 686
1680514133.7534103,0, 686
1680514134.8192956,0, 686
1680514135.870454,0, 686
1680514136.9117193,0, 686
1680514137.9598756,0, 687
1680514139.015129,0, 687
1680514140.0568016,0, 687
1680514141.10858,0, 687
1680514142.152121,0, 687
1680514143.1914775,0, 687
1680514144.234946,0, 687
1680514145.2769594,0, 687
1680514146.3144512,0, 687
1680514147.3582413,0, 686
1680514148.4041157,0, 686
1680514149.4548116,0, 665
1680514150.500227,0, 640
1680514151.543345,1, 639
1680514152.5821126,0, 639
1680514153.628713,0, 639
1680514154.6690922,3, 652
1680514155.7225754,39, 656
1680514156.7755659,0, 656
1680514157.8146436,0, 656
1680514158.8647304,0, 656
1680514159.906971,0, 656
1680514160.9605393,6, 653
1680514162.0001373,0, 651
1680514163.0471816,0, 653
1680514164.0856016,0, 653
1680514165.1258862,3, 654
1680514166.1635687,3, 654
1680514167.2015226,0, 653
1680514168.2436335,0, 653
1680514169.282908,0, 649
1680514170.3195746,0, 650
1680514171.3593364,0, 650
1680514172.3990371,0, 649
1680514173.4445083,5, 649
1680514174.488198,0, 649
1680514175.5364861,0, 649
1680514176.5813112,0, 648
1680514177.6212611,23, 650
1680514178.6642473,0, 655
1680514179.7145326,0, 655
